,name,price,change,change_percent,volume,timestamp
NVDA,NVIDIA,0,-136.92,-100.0,223933836,2024-11-28T14:52:36.731812
AAPL,Apple,0,-235.06,-100.0,32171077,2024-11-28T14:52:36.985127
MSFT,Microsoft,0,-427.99,-100.0,17192054,2024-11-28T14:52:37.244099
GOOGL,Alphabet,0,-169.12,-100.0,19236490,2024-11-28T14:52:37.507875
AMZN,Amazon,0,-207.86,-100.0,26919649,2024-11-28T14:52:37.898490
META,Meta,0,-573.54,-100.0,6899237,2024-11-28T14:52:38.175723
TSLA,Tesla,0,-338.23,-100.0,57176546,2024-11-28T14:52:38.437534
