,name,price,change,change_percent,volume,timestamp
^FVX,5-Year Treasury,0,-4.19,-100.0,0,2024-11-28T14:52:34.912505
^TNX,10-Year Treasury,0,-4.302,-100.0,0,2024-11-28T14:52:35.166963
^TYX,30-Year Treasury,0,-4.48,-100.0,0,2024-11-28T14:52:35.425359
