,name,price,change,change_percent,volume,timestamp
^GSPC,S&P 500,0,-6021.63,-100.0,2090790000,2024-11-28T14:52:34.131775
^DJI,Dow Jones,0,-44860.31,-100.0,451361098,2024-11-28T14:52:34.395908
^IXIC,NASDAQ,0,-19175.578,-100.0,5158760000,2024-11-28T14:52:34.653700
